Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
86,11,320.82,37.55,187.46,11.70,58.43,97.98,nan,nan,nan,14.49,41.55
30,7,360.94,25.15,139.72,6.97,38.71,65.84,nan,nan,nan,19.28,59.34
116,3,461.26,26.81,130.29,5.81,28.25,70.13,nan,nan,nan,14.68,48.43
38,6,564.13,18.01,130.23,3.19,23.09,47.33,nan,nan,nan,28.45,89.88
101,4,163.34,25.64,127.08,15.70,77.80,67.11,nan,nan,nan,29.99,83.60
13,6,117.80,41.87,116.25,35.54,98.69,109.16,nan,nan,nan,25.99,70.85
3,10,239.28,21.45,115.36,8.96,48.21,56.23,nan,nan,nan,19.67,54.77
16,7,96.02,34.97,95.20,36.42,99.14,91.28,nan,nan,nan,27.19,71.84
29,5,186.45,19.31,86.46,10.35,46.37,50.68,nan,nan,nan,21.90,68.83
84,8,217.14,22.71,86.21,10.46,39.70,59.50,nan,nan,nan,11.47,36.56
10,4,211.06,21.60,85.36,10.24,40.44,56.64,nan,nan,nan,24.62,67.80
105,5,168.46,22.74,85.32,13.50,50.64,59.59,nan,nan,nan,20.80,77.20
4,4,108.74,16.78,80.79,15.43,74.30,44.14,nan,nan,nan,14.04,22.87
11,4,147.03,22.93,76.04,15.59,51.71,60.07,nan,nan,nan,16.84,75.02
100,2,70.34,20.15,70.34,28.65,100.00,52.87,nan,nan,nan,28.10,72.73
85,2,56.39,15.69,53.74,27.82,95.29,41.30,nan,nan,nan,24.38,58.88
