Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
84,651.52,12,80.06,6.67,12.29,208.16,4106.04,577.77,12.62,43.91
46,750.88,14,63.63,4.55,8.47,165.58,4620.62,683.81,20.33,62.27
4,1964.20,23,59.61,2.59,3.03,155.15,3325.23,443.73,12.22,31.65
90,508.73,6,46.05,7.67,9.05,120.01,3493.02,512.66,15.44,23.01
92,435.73,6,46.05,7.67,10.57,120.01,2964.18,436.17,14.33,18.10
91,56.97,2,36.80,18.40,64.59,96.03,425.56,61.32,15.66,56.39
89,56.37,3,33.12,11.04,58.76,86.49,342.30,50.65,10.76,36.65
100,353.56,8,30.33,3.79,8.58,79.27,1525.46,219.92,20.50,27.83
27,465.98,11,29.87,2.72,6.41,78.07,2868.16,390.63,15.55,77.55
87,175.38,3,22.77,7.59,12.99,59.67,1108.55,160.90,13.76,60.66
15,744.12,9,22.35,2.48,3.00,58.58,5699.87,819.08,24.62,80.28
101,58.73,4,21.37,5.34,36.38,56.03,249.67,34.92,15.66,51.25
95,53.49,3,19.04,6.35,35.60,50.01,362.96,53.93,18.05,83.24
41,421.34,8,18.39,2.30,4.37,48.32,3001.11,416.29,9.82,76.47
38,253.99,6,15.57,2.59,6.13,41.00,1869.75,261.71,13.86,81.71
