Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
175,16,664.08,85.62,480.89,12.89,72.41,222.57,4270.59,620.02,31.24,66.97
130,9,496.46,66.20,246.32,13.33,49.62,172.24,3104.94,433.29,20.33,42.43
121,12,549.40,37.44,225.84,6.82,41.11,97.70,4024.64,557.60,33.30,76.92
95,14,1289.40,33.15,224.69,2.57,17.43,86.57,2425.84,322.85,23.65,24.01
133,6,262.41,47.01,199.70,17.91,76.10,122.50,1729.35,253.12,21.26,39.39
102,9,401.12,21.89,143.71,5.46,35.83,57.38,2644.40,379.47,38.84,81.76
150,5,140.48,32.93,111.03,23.44,79.04,86.01,707.95,92.86,22.74,45.73
116,6,334.07,15.74,101.85,4.71,30.49,41.45,2286.03,314.38,34.74,79.74
135,4,138.28,42.82,89.17,30.97,64.49,111.64,980.87,142.14,21.89,42.74
128,4,117.94,27.99,83.85,23.73,71.10,73.20,718.14,101.19,21.58,25.95
173,2,65.56,16.07,56.34,24.51,85.94,42.30,452.76,67.73,30.84,76.42
132,1,54.89,28.93,53.70,52.71,97.82,75.64,328.39,48.81,19.83,40.62
134,3,63.62,33.12,48.85,52.06,76.78,86.49,386.51,57.18,23.01,34.51
