Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
13,14,2560.98,63.27,280.06,2.47,10.94,164.65,14175.87,1550.84,1741.81,5.05,19.44
198,6,470.88,30.22,196.06,6.42,41.64,78.97,2060.81,858.12,208.86,12.35,26.75
5,10,415.11,37.10,186.47,8.94,44.92,96.82,2555.01,1147.71,320.47,10.76,25.06
50,7,671.87,45.15,183.86,6.72,27.37,117.67,3987.93,1091.50,558.06,4.91,32.89
106,2,528.11,35.24,145.74,6.67,27.60,91.99,2013.80,555.81,199.21,0.39,1.41
235,10,412.94,59.72,123.82,14.46,29.99,155.45,1120.07,335.91,94.49,0.60,1.17
28,5,238.47,18.26,117.00,7.66,49.06,47.97,1603.56,786.70,221.71,28.11,71.61
56,4,137.46,26.84,113.46,19.52,82.54,70.20,798.43,659.03,126.61,12.63,63.96
145,5,534.99,15.61,112.73,2.92,21.07,41.11,3629.77,764.79,558.01,9.03,42.73
266,2,553.19,39.01,110.10,7.05,19.90,101.75,3639.65,724.29,470.72,14.84,30.55
312,2,885.80,49.88,100.04,5.63,11.29,129.94,4041.30,456.26,421.73,0.54,6.04
325,2,222.54,49.88,91.76,22.42,41.23,129.94,1102.70,454.64,112.05,0.84,15.57
199,5,311.91,16.40,88.98,5.26,28.53,43.14,1249.72,356.55,112.23,10.17,14.44
228,5,269.94,36.47,81.75,13.51,30.28,95.18,830.98,251.62,73.41,0.05,nan
54,4,80.44,39.02,69.22,48.51,86.06,101.78,544.07,468.23,79.51,10.89,50.65
263,2,182.57,39.01,63.73,21.37,34.91,101.75,1203.68,420.21,155.62,14.00,37.37
57,3,172.43,26.42,63.47,15.32,36.81,69.12,1008.43,371.20,177.85,6.50,43.86
333,5,92.93,26.76,59.87,28.80,64.43,70.02,219.04,141.13,18.26,0.10,nan
232,5,58.82,36.47,56.74,62.00,96.47,95.18,137.07,132.23,10.91,0.00,nan
55,4,52.58,40.56,52.26,77.14,99.39,105.78,302.88,301.04,45.24,17.33,49.01
35,3,51.61,16.22,49.67,31.42,96.25,42.67,311.95,300.25,38.26,16.08,28.10
265,2,71.72,39.01,46.29,54.39,64.54,101.75,472.81,305.15,61.13,41.51,59.53
