Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
13,22,863.29,102.58,582.02,11.88,67.42,266.54,5438.05,3666.33,787.84,33.34,60.84
69,10,1020.95,72.76,477.34,7.13,46.75,189.24,8223.14,3844.32,1153.15,30.79,57.00
10,15,767.08,66.43,365.02,8.66,47.58,172.84,5511.71,2622.47,812.68,30.77,48.42
464,2,620.39,83.67,314.94,13.49,50.76,217.53,4288.04,2176.61,600.81,3.90,49.49
333,4,313.95,197.29,282.62,62.84,90.02,512.03,366.43,329.86,38.94,0.42,nan
166,8,784.41,67.02,258.28,8.54,32.93,174.35,4658.47,1534.03,695.09,5.49,34.84
79,1,344.63,61.05,237.23,17.71,68.84,158.89,3028.60,2084.89,421.16,36.45,61.71
17,8,932.00,37.27,229.48,4.00,24.62,97.24,4496.59,1107.06,632.46,22.73,21.64
21,11,371.72,46.84,211.47,12.60,56.89,122.04,2109.63,1200.17,295.48,30.19,40.63
348,12,273.23,65.98,204.94,24.15,75.00,171.66,624.08,468.06,49.65,0.00,nan
290,2,607.70,39.01,203.73,6.42,33.52,101.75,3950.72,1324.28,511.25,18.27,43.19
23,5,476.75,39.33,191.65,8.25,40.20,102.60,3290.62,1322.83,446.66,31.32,66.39
201,6,855.01,32.22,183.57,3.77,21.47,84.16,3545.65,761.25,332.25,12.99,25.81
82,6,571.83,32.52,180.85,5.69,31.63,84.93,4528.36,1432.32,640.59,27.94,58.75
6,10,450.73,26.18,171.15,5.81,37.97,68.50,3304.91,1254.87,460.04,33.25,78.02
81,5,371.19,36.06,170.43,9.72,45.91,94.12,3390.78,1556.70,490.90,41.49,77.54
461,2,153.52,83.67,153.52,54.50,100.00,217.53,1069.21,1069.21,148.91,0.06,78.81
195,4,380.88,29.35,153.28,7.71,40.24,76.73,1655.27,666.08,165.66,19.28,31.43
328,2,429.90,37.31,144.86,8.68,33.70,97.35,3519.09,1185.93,504.84,22.74,71.56
22,5,173.66,28.04,142.91,16.14,82.30,73.32,1192.72,981.61,178.08,36.12,75.55
310,11,588.45,21.49,141.78,3.65,24.09,56.35,5171.15,1245.73,761.75,37.94,80.35
148,6,361.28,22.42,134.87,6.21,37.33,58.77,2518.30,940.08,348.62,26.35,65.32
137,7,1007.19,35.81,134.81,3.56,13.38,93.46,5216.36,697.95,590.35,3.54,7.92
488,2,574.22,36.01,129.68,6.27,22.58,93.98,1669.06,376.87,191.47,0.47,nan
426,2,722.53,36.01,129.68,4.98,17.95,93.98,2097.39,376.48,239.08,0.48,nan
