Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
37,492.99,5,43.05,8.61,8.73,112.23,2679.15,413.35,1.21,12.80
46,1663.04,10,42.45,4.24,2.55,110.68,12016.68,1517.96,2.50,36.63
16,1010.54,8,42.33,5.29,4.19,110.37,6468.00,825.02,2.73,24.47
42,422.74,9,41.34,4.59,9.78,107.79,2727.77,337.21,2.17,23.23
28,1307.56,8,33.50,4.19,2.56,87.49,10124.25,1284.06,3.66,23.39
38,134.95,3,29.13,9.71,21.59,76.15,676.75,93.10,0.01,0.87
14,407.60,3,28.32,9.44,6.95,74.06,2462.79,310.52,3.58,35.23
10,2840.12,6,24.69,4.11,0.87,64.63,16633.62,1834.33,2.09,23.11
5,842.26,4,23.23,5.81,2.76,60.85,5896.91,726.03,2.36,27.50
1,131.87,2,20.51,10.25,15.55,53.80,749.40,72.96,2.82,20.80
40,451.34,1,19.57,19.57,4.34,51.36,2167.40,267.98,1.89,4.88
6,229.81,2,16.25,8.12,7.07,42.76,1513.31,171.13,0.78,9.20
29,204.57,3,15.47,5.16,7.56,40.74,1359.07,156.67,4.03,21.67
4,614.89,3,15.34,5.11,2.49,40.39,3880.81,429.44,2.32,19.85
22,240.98,3,15.34,5.11,6.36,40.39,1442.91,148.69,3.55,21.13
