Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
3,10,1765.55,45.40,303.21,2.57,17.17,118.32,11889.73,2041.47,1414.81,4.88,16.80
13,5,521.69,35.42,273.70,6.79,52.46,92.45,3232.69,1695.87,388.38,10.30,53.09
30,9,904.76,43.67,263.56,4.83,29.13,113.84,6728.02,1959.87,837.02,6.94,23.14
47,6,459.29,49.46,251.13,10.77,54.68,128.86,2337.43,1278.10,345.44,0.89,6.47
57,1,618.22,19.57,149.51,3.16,24.18,51.36,2896.10,700.28,352.58,3.73,7.72
44,7,1125.00,20.67,135.71,1.84,12.06,54.23,8520.59,1027.58,1181.83,10.56,50.91
42,1,266.18,19.57,125.77,7.35,47.25,51.36,1225.12,578.87,145.51,2.43,5.81
48,3,148.08,29.13,123.49,19.67,83.39,76.15,738.37,615.73,101.60,0.01,0.80
49,3,305.52,20.33,122.19,6.66,39.99,53.35,1561.32,624.37,238.41,1.31,9.06
12,1,176.90,21.72,112.57,12.28,63.64,56.94,1019.23,648.64,116.01,8.16,39.60
25,5,471.63,24.50,108.74,5.19,23.06,64.15,3128.08,721.34,357.84,3.40,14.56
2,2,127.28,20.51,102.44,16.11,80.48,53.80,729.60,587.18,72.06,7.91,39.54
17,7,1242.73,16.40,99.38,1.32,8.00,43.16,7721.93,617.75,936.89,3.22,16.58
32,6,172.79,23.29,93.64,13.48,54.19,61.02,1087.20,589.15,143.53,6.25,17.83
35,1,286.68,16.68,88.31,5.82,30.81,43.87,2481.86,764.66,329.56,16.24,30.83
37,1,143.17,16.68,85.41,11.65,59.65,43.87,1241.10,740.32,164.83,20.60,50.20
29,4,240.34,23.23,74.25,9.66,30.89,60.85,1605.64,495.98,185.78,5.13,19.73
11,2,226.24,24.25,68.97,10.72,30.48,63.51,1452.63,442.76,175.06,8.67,50.83
