Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
175,16,664.08,85.62,564.98,12.89,85.08,222.57,4270.59,620.02,31.24,66.97
130,9,496.46,66.20,468.29,13.33,94.33,172.24,3104.94,433.29,20.33,42.43
133,6,262.41,47.01,303.83,17.91,115.78,122.50,1729.35,253.12,21.26,39.39
135,4,138.28,42.82,290.61,30.97,210.17,111.64,980.87,142.14,21.89,42.74
121,12,549.40,37.44,275.62,6.82,50.17,97.70,4024.64,557.60,33.30,76.92
95,14,1289.40,33.15,254.13,2.57,19.71,86.57,2425.84,322.85,23.65,24.01
134,3,63.62,33.12,244.91,52.06,384.95,86.49,386.51,57.18,23.01,34.51
150,5,140.48,32.93,220.22,23.44,156.76,86.01,707.95,92.86,22.74,45.73
132,1,54.89,28.93,226.91,52.71,413.37,75.64,328.39,48.81,19.83,40.62
128,4,117.94,27.99,192.27,23.73,163.03,73.20,718.14,101.19,21.58,25.95
102,9,401.12,21.89,165.60,5.46,41.28,57.38,2644.40,379.47,38.84,81.76
173,2,65.56,16.07,121.00,24.51,184.56,42.30,452.76,67.73,30.84,76.42
116,6,334.07,15.74,130.44,4.71,39.05,41.45,2286.03,314.38,34.74,79.74
