Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
36,11,426.36,46.56,263.63,10.92,61.83,121.33,nan,nan,nan,24.76,42.45
118,2,588.81,84.74,254.59,14.39,43.24,220.29,nan,nan,nan,0.89,nan
54,10,353.49,45.18,246.73,12.78,69.80,117.75,nan,nan,nan,10.05,38.36
143,2,222.45,84.74,222.45,38.09,100.00,220.29,nan,nan,nan,2.01,nan
26,10,244.11,73.45,219.47,30.09,89.90,191.02,nan,nan,nan,30.10,67.79
40,7,284.20,45.57,163.34,16.04,57.47,118.78,nan,nan,nan,17.74,39.23
69,10,524.54,21.62,145.81,4.12,27.80,56.69,nan,nan,nan,7.84,37.69
62,9,199.30,17.78,128.15,8.92,64.30,46.73,nan,nan,nan,26.59,82.65
4,7,264.45,15.47,124.19,5.85,46.96,40.75,nan,nan,nan,35.70,81.72
30,7,140.12,26.35,110.26,18.81,78.69,68.96,nan,nan,nan,25.62,44.81
76,9,170.11,32.71,102.84,19.23,60.46,85.42,nan,nan,nan,3.00,13.84
81,9,107.63,32.71,94.27,30.39,87.59,85.42,nan,nan,nan,3.36,16.51
154,6,112.56,17.15,81.62,15.24,72.51,45.11,nan,nan,nan,7.36,nan
197,3,161.38,24.84,79.24,15.39,49.10,65.03,nan,nan,nan,8.51,19.03
53,3,79.13,26.61,77.45,33.63,97.88,69.62,nan,nan,nan,6.63,39.03
156,1,156.17,22.32,69.47,14.29,44.48,58.50,nan,nan,nan,1.59,7.06
107,7,79.41,49.18,67.31,61.93,84.76,128.12,nan,nan,nan,38.68,83.91
37,2,77.57,15.61,66.68,20.13,85.96,41.11,nan,nan,nan,18.41,26.61
231,1,62.37,22.32,62.33,35.79,99.93,58.50,nan,nan,nan,1.58,9.85
56,1,58.63,32.39,58.63,55.24,100.00,84.60,nan,nan,nan,0.53,nan
108,1,55.58,30.16,55.58,54.26,100.00,78.82,nan,nan,nan,0.33,nan
180,3,55.78,24.84,54.90,44.53,98.42,65.03,nan,nan,nan,6.20,4.93
47,3,71.33,36.37,53.57,50.99,75.11,94.92,nan,nan,nan,34.30,83.14
33,5,75.08,20.40,52.54,27.18,69.98,53.53,nan,nan,nan,31.13,54.80
46,2,44.40,40.45,44.40,91.09,100.00,105.48,nan,nan,nan,17.13,42.11
45,3,39.97,26.98,39.97,67.50,100.00,70.59,nan,nan,nan,26.78,68.67
27,1,39.34,37.97,39.34,96.53,100.00,99.07,nan,nan,nan,16.56,41.85
43,1,33.05,17.92,33.05,54.22,100.00,47.08,nan,nan,nan,13.92,31.48
