Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
109,4747.26,46,156.74,3.41,3.30,406.92,20397.67,2903.99,8.34,36.23
68,834.15,17,84.66,4.98,10.15,220.10,5583.84,802.31,7.00,46.76
144,354.93,10,55.73,5.57,15.70,145.09,2440.85,363.66,25.63,76.41
76,473.69,7,47.11,6.73,9.95,122.77,3222.99,471.19,15.34,21.15
135,552.06,13,38.68,2.98,7.01,100.89,4044.81,559.99,18.60,76.19
141,60.54,2,36.80,18.40,60.79,96.03,452.06,65.10,20.08,62.01
75,99.92,3,33.12,11.04,33.15,86.49,602.38,89.33,8.65,33.20
156,285.89,7,29.27,4.18,10.24,76.51,1360.14,194.82,22.57,28.91
65,113.22,5,29.15,5.83,25.75,76.21,684.88,96.11,7.25,37.08
66,159.53,3,22.05,7.35,13.82,57.81,1010.35,133.05,1.23,8.52
158,59.83,4,21.37,5.34,35.71,56.03,244.54,34.31,14.53,47.58
19,832.98,7,20.17,2.88,2.42,52.93,2453.35,326.15,11.06,15.86
160,61.95,3,19.04,6.35,30.74,50.01,416.60,61.69,18.07,86.00
159,58.17,2,16.07,8.04,27.63,42.30,400.79,59.91,17.30,73.48
