Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
3,12,1973.26,65.02,409.55,3.29,20.75,169.17,13769.88,2857.25,1676.41,7.16,21.43
2,4,474.37,33.29,237.04,7.02,49.97,86.93,2776.36,1387.35,281.55,4.52,25.39
70,3,523.42,26.31,182.68,5.03,34.90,68.84,3371.62,1176.70,408.81,8.41,46.20
104,5,760.29,33.92,156.35,4.46,20.56,88.56,3534.98,726.79,433.86,4.56,11.22
94,3,160.57,27.19,117.43,16.93,73.14,71.12,842.54,616.24,125.73,0.39,1.53
24,5,154.74,24.48,108.80,15.82,70.31,64.09,1000.96,703.77,130.83,7.58,24.99
22,4,373.56,23.23,99.67,6.22,26.68,60.85,2484.30,662.81,285.40,3.19,17.01
71,2,133.01,24.25,95.22,18.23,71.59,63.51,823.25,589.36,104.43,13.58,72.16
67,6,1570.23,15.21,87.62,0.97,5.58,40.06,9076.45,506.47,1017.76,1.62,5.46
40,1,140.14,16.68,85.41,11.90,60.94,43.87,1216.52,741.35,161.63,20.66,50.61
99,1,233.41,19.57,76.57,8.38,32.80,51.36,1126.74,369.57,138.36,4.34,8.74
23,4,225.75,23.23,75.43,10.29,33.41,60.85,1508.93,504.13,174.91,4.47,19.96
32,3,175.54,25.36,58.49,14.45,33.32,66.38,1404.47,467.97,183.02,10.28,44.56
4,1,72.50,19.06,52.43,26.29,72.33,50.04,412.22,298.16,40.22,7.90,24.25
