Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
212,6,470.65,30.22,196.06,6.42,41.66,78.97,2059.83,858.12,208.76,12.37,26.81
24,10,496.03,37.10,189.51,7.48,38.20,96.82,3044.92,1163.16,380.59,8.93,20.74
183,2,697.88,35.24,178.93,5.05,25.64,91.99,2928.62,750.90,305.45,1.75,4.70
38,6,631.79,25.61,130.25,4.05,20.62,67.01,3747.30,772.69,522.38,4.37,31.28
247,10,292.20,59.72,123.82,20.44,42.38,155.45,762.87,323.30,62.65,0.26,0.77
94,5,238.52,18.26,117.00,7.65,49.05,47.97,1603.99,786.75,221.78,28.11,71.61
51,4,137.45,26.84,113.46,19.52,82.55,70.20,798.34,659.03,126.60,12.63,63.96
122,5,538.56,15.61,112.99,2.90,20.98,41.11,3651.21,766.02,561.51,9.09,42.82
285,2,553.09,39.01,110.10,7.05,19.91,101.75,3639.02,724.53,470.63,14.84,30.56
315,2,885.80,49.88,100.04,5.63,11.29,129.94,4041.30,456.26,421.73,0.54,6.04
86,8,462.61,19.44,97.79,4.20,21.14,51.04,2839.16,600.20,365.48,10.65,26.25
341,2,222.54,49.88,91.76,22.42,41.23,129.94,1102.70,454.64,112.05,0.84,15.57
213,5,311.27,16.40,88.98,5.27,28.59,43.14,1246.89,356.48,111.94,10.06,14.26
225,5,269.37,36.47,81.75,13.54,30.35,95.18,829.46,251.74,73.25,0.10,nan
100,3,159.44,15.41,81.03,9.67,50.82,40.59,990.09,503.16,138.91,23.88,65.81
298,2,189.35,35.24,75.16,18.61,39.69,91.99,1089.76,432.53,129.15,6.31,16.84
50,4,70.94,40.56,70.62,57.18,99.55,105.78,407.45,405.62,60.97,17.87,53.95
282,2,182.57,39.01,63.73,21.37,34.91,101.75,1203.68,420.21,155.62,14.00,37.37
52,3,172.36,26.42,63.53,15.33,36.86,69.12,1008.11,371.59,177.81,6.49,43.80
248,5,92.88,26.76,59.87,28.81,64.46,70.02,218.89,141.10,18.24,0.09,nan
245,5,58.82,36.47,56.74,62.00,96.47,95.18,137.07,132.23,10.91,0.00,nan
31,3,48.88,16.22,46.95,33.17,96.04,42.67,295.76,284.04,36.28,15.95,26.88
284,2,71.72,39.01,46.29,54.39,64.54,101.75,472.81,305.15,61.13,41.51,59.53
250,8,160.63,30.00,25.27,18.67,15.73,78.40,461.07,72.53,37.87,0.41,1.40
