Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
204,16,659.02,85.62,475.10,12.99,72.09,222.57,4241.20,3057.48,615.71,31.28,67.03
57,9,499.13,66.20,248.35,13.26,49.76,172.24,3123.55,1554.28,435.89,20.33,42.47
1,15,1304.66,35.34,237.74,2.71,18.22,92.25,2433.76,443.43,324.03,23.99,24.74
62,12,554.59,37.44,224.25,6.75,40.43,97.70,4009.68,1621.11,555.55,32.90,76.03
193,9,285.42,51.30,207.90,17.97,72.84,133.62,1918.29,1397.28,287.67,22.52,40.89
26,9,318.19,21.89,144.07,6.88,45.28,57.38,1955.29,885.35,280.29,38.71,77.13
33,7,331.05,18.84,113.26,5.69,34.21,49.47,2305.60,788.75,323.14,29.91,70.59
212,5,140.51,32.93,111.07,23.44,79.04,86.01,709.38,560.70,93.15,22.74,45.80
198,7,161.58,47.11,97.67,29.16,60.44,122.77,1171.58,708.10,176.95,23.95,44.75
56,4,118.07,27.99,83.98,23.71,71.13,73.20,718.97,511.40,101.31,21.57,25.93
209,2,65.58,16.07,56.36,24.51,85.94,42.30,452.87,389.20,67.75,30.85,76.43
192,1,55.14,28.93,53.94,52.47,97.83,75.64,329.86,322.70,49.03,19.86,40.71
194,3,63.57,33.12,48.80,52.10,76.76,86.49,386.22,296.46,57.14,23.03,34.54
