Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
42,18,4153.37,99.40,519.49,2.39,12.51,258.28,26414.38,3304.44,3406.96,5.40,24.36
108,8,859.10,29.81,172.07,3.47,20.03,77.91,5973.43,1196.48,724.20,6.47,36.70
17,3,344.70,28.32,131.95,8.22,38.28,74.06,2086.41,798.68,263.52,5.32,27.56
126,6,563.40,45.62,130.68,8.10,23.19,118.89,4663.25,1081.41,611.81,10.03,23.00
78,2,171.88,20.51,118.81,11.93,69.12,53.80,989.44,683.90,99.41,5.40,31.46
54,3,162.56,29.13,108.53,17.92,66.76,76.15,809.43,540.37,111.80,0.02,0.81
135,1,95.44,16.68,77.91,17.47,81.64,43.87,844.56,689.50,112.79,22.55,51.65
14,1,68.22,21.72,68.18,31.84,99.93,56.94,379.57,379.31,45.84,10.44,59.30
115,2,77.24,16.20,53.64,20.97,69.45,42.63,453.64,315.05,67.75,2.02,20.17
123,1,63.81,21.46,50.92,33.64,79.81,56.28,477.73,381.28,59.70,7.75,45.06
79,1,68.34,19.06,50.66,27.89,74.14,50.04,387.81,287.52,37.63,6.46,22.57
57,3,82.34,29.13,50.20,35.38,60.96,76.15,398.27,242.79,54.13,0.00,nan
80,2,59.25,20.51,47.58,34.62,80.31,53.80,350.06,281.13,37.36,8.21,63.87
72,1,40.35,19.57,39.96,48.49,99.03,51.36,155.81,154.30,16.52,0.00,nan
158,1,46.93,22.57,32.81,48.08,69.90,59.14,476.06,332.76,63.24,40.84,99.67
124,3,165.85,25.36,27.57,15.29,16.62,66.38,1320.55,219.48,171.57,11.74,49.07
