Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Annual_Volume_Treated_MG/Yr,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
42,19,1495.91,98.84,515.00,6.61,34.43,256.83,224.79,8810.06,3033.30,1272.10,30.77,44.31
59,17,810.18,91.02,409.59,11.24,50.56,236.58,77.32,3901.66,1972.68,559.27,29.78,47.81
47,15,637.79,45.80,289.24,7.18,45.35,119.35,91.62,4539.62,2058.72,624.13,30.98,63.59
36,18,677.32,50.43,278.10,7.45,41.06,131.37,145.27,3607.54,1481.25,488.58,40.08,64.34
53,8,361.17,51.21,209.87,14.18,58.11,133.39,10.51,2570.62,1493.79,381.51,20.59,34.91
35,9,178.67,24.87,116.20,13.92,65.04,65.09,25.07,536.49,348.93,71.30,40.35,72.54
62,4,110.77,25.03,95.83,22.60,86.51,65.53,0.00,657.79,569.06,92.06,11.03,29.45
56,4,161.49,29.56,92.13,18.30,57.05,77.26,17.72,1131.32,645.42,169.65,40.88,80.88
41,3,130.47,17.19,82.33,13.18,63.11,45.21,0.00,822.05,518.79,110.91,10.47,18.09
55,4,83.57,42.82,72.32,51.24,86.54,111.64,0.00,579.61,501.59,84.16,6.78,16.86
43,2,251.91,31.64,72.10,12.56,28.62,82.66,17.83,1597.94,457.33,233.30,27.13,18.45
52,2,50.44,30.41,35.97,60.30,71.32,79.47,0.00,307.76,219.49,45.47,11.66,12.60
54,2,58.48,32.62,25.23,55.78,43.15,85.19,0.00,440.57,190.10,66.14,17.38,17.97
63,2,71.40,23.73,21.66,33.24,30.33,62.17,6.18,455.28,138.09,66.13,52.56,99.35
