Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
100,11,320.82,37.55,187.46,11.70,58.43,97.98,nan,nan,nan,14.49,41.55
26,8,399.34,27.23,164.80,6.82,41.27,71.22,nan,nan,nan,19.47,57.32
125,3,460.29,26.81,130.32,5.82,28.31,70.13,nan,nan,nan,14.72,48.53
40,6,564.13,18.01,130.23,3.19,23.09,47.33,nan,nan,nan,28.45,89.88
104,4,163.34,25.64,127.08,15.70,77.80,67.11,nan,nan,nan,29.99,83.60
12,6,117.80,41.87,116.25,35.54,98.69,109.16,nan,nan,nan,25.99,70.85
3,9,237.07,20.41,113.14,8.61,47.73,53.55,nan,nan,nan,19.85,54.34
15,7,96.04,34.97,95.21,36.41,99.14,91.28,nan,nan,nan,27.20,71.84
31,4,343.94,21.60,86.48,6.28,25.14,56.64,nan,nan,nan,26.21,65.35
88,8,217.14,22.71,86.21,10.46,39.70,59.50,nan,nan,nan,11.47,36.56
4,4,108.76,16.78,80.81,15.43,74.30,44.14,nan,nan,nan,14.04,22.87
11,4,147.03,22.93,76.04,15.59,51.71,60.07,nan,nan,nan,16.84,75.02
108,5,152.50,22.74,71.41,14.91,46.83,59.59,nan,nan,nan,22.27,83.91
103,2,70.34,20.15,70.34,28.65,100.00,52.87,nan,nan,nan,28.10,72.73
89,2,56.39,15.69,53.74,27.82,95.29,41.30,nan,nan,nan,24.38,58.88
5,3,126.82,15.10,53.65,11.91,42.30,39.79,nan,nan,nan,27.11,71.84
