Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
98,20,1343.46,61.99,306.92,4.61,22.85,161.33,nan,nan,nan,20.26,62.02
42,11,399.52,49.42,254.88,12.37,63.80,128.75,nan,nan,nan,26.53,71.64
39,4,837.55,29.43,202.43,3.51,24.17,76.92,nan,nan,nan,12.13,39.18
44,8,560.20,27.66,155.23,4.94,27.71,72.34,nan,nan,nan,13.22,40.91
61,6,117.80,41.87,116.25,35.54,98.69,109.16,nan,nan,nan,25.99,70.85
104,7,309.87,25.15,109.42,8.12,35.31,65.84,nan,nan,nan,18.26,60.21
70,9,135.73,19.30,95.60,14.22,70.43,50.66,nan,nan,nan,21.96,53.34
65,7,96.02,34.97,95.20,36.42,99.14,91.28,nan,nan,nan,27.19,71.84
78,4,211.06,21.60,85.36,10.24,40.44,56.64,nan,nan,nan,24.62,67.80
100,6,91.67,22.85,79.36,24.93,86.57,59.87,nan,nan,nan,19.99,74.39
59,4,147.48,22.93,76.04,15.55,51.56,60.07,nan,nan,nan,16.82,74.83
41,6,80.69,39.55,73.05,49.01,90.54,103.15,nan,nan,nan,28.36,74.63
19,7,519.44,15.52,70.53,2.99,13.58,40.87,nan,nan,nan,2.67,5.21
71,3,91.90,15.43,70.40,16.79,76.61,40.63,nan,nan,nan,12.81,20.49
31,5,74.35,37.67,63.19,50.66,84.99,98.28,nan,nan,nan,33.02,78.90
28,5,168.75,19.16,52.70,11.36,31.23,50.31,nan,nan,nan,8.76,21.89
43,4,131.93,22.46,18.94,17.03,14.35,58.87,nan,nan,nan,14.44,52.25
